state,Median Age,Population,Pop: White Only,Pop: Black Only,Pop: American Indian Only,Pop: Native Hawaiian Only
AL,38.9,4874747,3312718,1307467,66908,1581
AK,34.5,739795,474856,22107,49385,8830
AZ,37.7,7016270,5442417,307655,232517,16453
AR,38.1,3004279,2293307,458367,47885,8551
CA,36.5,39536653,23181769,2271917,5765305,153923
CO,36.8,5607154,4720495,229436,179251,8400
CT,40.9,3588184,2723013,380578,163924,525
DE,40.1,961939,662084,210356,38930,244
DC,34.0,693972,284536,318220,28499,302
FL,42.0,20984400,15768315,3394508,588087,13937
GA,36.8,10429379,6122956,3292061,410915,8594
HI,39.2,1427538,357113,23386,545639,145271
ID,36.3,1716943,1546011,11347,23113,3079
IL,38.0,12802023,9119912,1818986,694968,4860
IN,37.7,6666818,5577897,623961,148366,1441
IA,38.3,3145711,2831066,107076,81714,5876
KS,36.7,2913123,2462215,167207,85840,3712
KY,38.9,4454189,3872670,361637,64878,3527
LA,36.8,4684333,2890818,1521339,84816,1517
ME,44.6,1335907,1261611,16372,15157,228
MD,38.7,6052177,3322483,1806673,391328,2143
MA,39.5,6859819,5387411,531887,452717,993
MI,39.8,9962311,7814775,1374615,308052,2951
MN,37.9,5576606,4610465,361130,273194,2044
MS,37.5,2984100,1735887,1134333,27694,1095
MO,38.5,6113532,5013597,698380,124518,8956
MT,40.0,1050493,930548,4635,7366,1150
NE,36.5,1920076,1677092,88952,47118,1244
NV,38.0,2998039,1936859,274550,255025,20761
NH,43.2,1342795,1249751,22409,35663,560
NJ,39.8,9005644,6112238,1217572,886261,3771
NM,37.7,2088070,1582020,44431,29427,1684
NY,38.7,19849399,12523357,3136984,1734663,7397
NC,38.8,10273419,7066745,2206579,295672,8385
ND,35.4,755393,654116,23294,12699,540
OH,39.3,11658609,9480074,1441353,257518,4216
OK,36.6,3930864,2837492,286716,86704,7163
OR,39.3,4142776,3497242,77750,181659,16144
PA,40.8,12805537,10339488,1437081,444588,3425
RI,39.5,1059639,866258,66660,38058,1128
SC,39.4,5024369,3380219,1357385,76181,6389
SD,36.9,869666,736581,16987,10775,944
TN,38.6,6715984,5221591,1122675,119115,6380
TX,34.7,28304596,20929140,3423231,1360248,23905
UT,31.0,3101833,2657013,37669,75691,26547
VT,42.6,623657,587265,8260,11270,166
VA,38.2,8470020,5714699,1627641,545776,4225
WA,37.7,7405743,5582361,271584,632156,48533
WV,42.4,1815857,1684321,71991,13733,344
WI,39.5,5795483,4942176,370335,159530,4177
WY,37.5,579315,528414,5766,4832,8
